datetime, value
2016022605,981
2016022606,891
2016022607,768
2016022608,-999
2016022609,0
2016022610,0
2016022611,0
2016022612,0
2016022613,0
2016022614,0
2016022615,0
2016022616,0
2016022617,0
2016022618,0
2016022619,0
2016022620,411
2016022621,-999
2016022622,930
2016022623,987
2016022700,995
2016022701,986
2016022702,981
2016022703,1007
2016022704,1005
2016022705,976
2016022706,861
2016022707,498
2016022708,0
2016022709,0
2016022710,0
2016022711,0
2016022712,0
2016022713,0
2016022714,0
2016022715,0
2016022716,0
2016022717,0
2016022718,0
2016022719,0
2016022720,323
2016022721,727
2016022722,900
2016022723,974
2016022800,984
2016022801,957
2016022802,962
2016022803,994
2016022804,1018
2016022805,980
2016022806,873
2016022807,424
2016022808,0
2016022809,0
2016022810,0
2016022811,0
2016022812,0
2016022813,0
2016022814,0
2016022815,0
2016022816,0
2016022817,0
2016022818,0
2016022819,0
2016022820,294
2016022821,771
2016022822,935
2016022823,992
2016022900,979
2016022901,1002
2016022902,967
2016022903,-999
2016022904,169
2016022905,-999
2016022906,881
2016022907,520
2016022908,0
2016022909,0
2016022910,0
2016022911,0
2016022912,0
2016022913,0
2016022914,0
2016022915,0
2016022916,0
2016022917,0
2016022918,0
2016022919,0
2016022920,349
2016022921,758
2016022922,920
2016022923,986
2016030100,-999
2016030101,-999
2016030102,973
2016030103,977
2016030104,926
2016030105,879
2016030106,-999
2016030107,166
2016030108,0
2016030109,0
2016030110,0
2016030111,0
2016030112,0
2016030113,0
2016030114,0
2016030115,0
2016030116,0
2016030117,0
2016030118,0
2016030119,0
2016030120,287
2016030121,676
2016030122,-999
2016030123,964
2016030200,-999
2016030201,938
2016030202,935
2016030203,957
2016030204,968
2016030205,-999
2016030206,795
2016030207,415
2016030208,0
2016030209,0
2016030210,0
2016030211,0
2016030212,0
2016030213,0
2016030214,0
2016030215,0
2016030216,0
2016030217,0
2016030218,0
2016030219,0
2016030220,105
2016030221,56
2016030222,51
2016030223,149
2016030300,-999
2016030301,839
2016030302,-999
2016030303,825
2016030304,894
2016030305,-999
2016030306,-999
2016030307,241
2016030308,0
2016030309,0
2016030310,0
2016030311,0
2016030312,0
2016030313,0
2016030314,0
2016030315,0
2016030316,0
2016030317,0
2016030318,0
2016030319,0
2016030320,196
2016030321,496
2016030322,755
2016030323,739
2016030400,885
2016030401,856
