datetime, value
2016030911,0
2016030912,0
2016030913,0
2016030914,0
2016030915,0
2016030916,0
2016030917,0
2016030918,0
2016030919,0
2016030920,33
2016030921,160
2016030922,258
2016030923,381
2016031000,-999
2016031001,577
2016031002,-999
2016031003,329
2016031004,-999
2016031005,153
2016031006,-999
2016031007,41
2016031008,0
2016031009,0
2016031010,0
2016031011,0
2016031012,0
2016031013,0
2016031014,0
2016031015,0
2016031016,0
2016031017,0
2016031018,0
2016031019,0
2016031020,36
2016031021,168
2016031022,364
2016031023,656
2016031100,790
2016031101,-999
2016031102,-999
2016031103,647
2016031104,-999
2016031105,-999
2016031106,-999
2016031107,-999
2016031108,0
2016031109,0
2016031110,0
2016031111,0
2016031112,0
2016031113,0
2016031114,0
2016031115,0
2016031116,0
2016031117,0
2016031118,0
2016031119,0
2016031120,52
2016031121,236
2016031122,349
2016031123,412
2016031200,786
2016031201,786
2016031202,598
2016031203,549
2016031204,318
2016031205,181
2016031206,154
2016031207,59
2016031208,0
2016031209,0
2016031210,0
2016031211,0
2016031212,0
2016031213,0
2016031214,0
2016031215,0
2016031216,0
2016031217,0
2016031218,0
2016031219,0
2016031220,45
2016031221,238
2016031222,457
2016031223,649
2016031300,715
2016031301,843
2016031302,845
2016031303,818
2016031304,705
2016031305,529
2016031306,315
2016031307,49
2016031308,0
2016031309,0
2016031310,0
2016031311,0
2016031312,0
2016031313,0
2016031314,0
2016031315,0
2016031316,0
2016031317,0
2016031318,0
2016031319,0
2016031320,50
2016031321,254
2016031322,468
2016031323,654
2016031400,786
2016031401,836
2016031402,850
2016031403,773
2016031404,693
2016031405,518
2016031406,320
2016031407,72
2016031408,0
2016031409,0
2016031410,0
2016031411,0
2016031412,0
2016031413,0
2016031414,0
2016031415,0
2016031416,0
2016031417,0
2016031418,0
2016031419,0
2016031420,46
2016031421,243
2016031422,449
2016031423,637
2016031500,772
2016031501,814
2016031502,822
2016031503,761
2016031504,607
2016031505,369
2016031506,-999
2016031507,97
2016031508,0
2016031509,0
2016031510,0
2016031511,0
2016031512,0
2016031513,0
2016031514,0
